Model,R2,RMSE,MAE
Random Forest,-0.3861109559472198,0.3398665006526072,0.2766691153016385
Extra Trees,0.3220579534849971,0.23768711912783463,0.19413717857987042
Gradient Boosting,-0.33590817317370747,0.33365502143195014,0.26266814248637155
SVR,-8.897531147773241,0.9081818126013839,0.5537464308832377
